Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_CODE26,SA4_NAME26,STE_NAME26,source_record_id,dc_location_key,augmentation_status,match_distance_m,match_method,external_id,external_title,external_address,external_operator,external_dc_plug_types,external_usage_cost_text,external_access_type,external_bay_count,external_number_of_points,external_status,external_last_verified,external_provider,external_provider_license,external_source_url,augmented,augmentation_source,matched_sources,evie_match_status,evie_augmented,ampol_match_status,ampol_augmented,ocm_match_status,ocm_augmented,osm_match_status,osm_augmented
,"13-17 Princes Hwy, Albion Park Rail NSW 2527",evie networks,2,DC,50 kW,-34.5504346,150.7877814,Shellharbour City Council,2527,ARENA - Driving the Nation,107,Illawarra,New South Wales,ev_00136,"-34.550435,150.787781",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_identity,False
,"133 Liverpool Rd, Sydney, 2134",jolt,2,DC,25 kW,-33.88724929,151.0993353,Burwood Council,2134,Existing Fast Chargers,120,Sydney - Inner West,New South Wales,ev_00138,"-33.887249,151.099335",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"134 Lachlan St, Hay, 2711",nrma electric,2,DC,50 kW,-34.50908013,144.8410701,Hay Shire Council,2711,Existing Fast Chargers,109,Murray,New South Wales,ev_00142,"-34.509080,144.841070",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_shared_external,False,review_identity,False
,"14 Everton Rd, Sydney, 2135",jolt,2,DC,25 kW,-33.87204909,151.0954464,Burwood Council,2135,Existing Fast Chargers,120,Sydney - Inner West,New South Wales,ev_00151,"-33.872049,151.095446",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"140 Denison St, Sydney, 2036",exploren,2,DC,120 kW,-33.94916821,151.2247958,Bayside Council,2036,Existing Fast Chargers,117,Sydney - City and Inner South,New South Wales,ev_00154,"-33.949168,151.224796",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"141 Morgan St, Sydney, 2209",jolt,2,DC,25 kW,-33.9492503,151.0812503,Georges River Council,2209,Existing Fast Chargers,119,Sydney - Inner South West,New South Wales,ev_00156,"-33.949250,151.081250",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"141 Roselands Ave, Roselands NSW 2196",engie,2,DC,120 kW,-33.9354417,151.0685253,Georges River Council,2196,ARENA - Driving the Nation,119,Sydney - Inner South West,New South Wales,ev_00157,"-33.935442,151.068525",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,review_identity,False
,"149 Alison Rd, Sydney, 2031",jolt,2,DC,50 kW,-33.91307612,151.2387948,Randwick City Council,2031,Existing Fast Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00167,"-33.913076,151.238795",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_identity,False,unmatched,False,review_identity,False,review_identity,False
,"15 Merriville Rd, Sydney, 2155",jolt,2,DC,25 kW,-33.70040345,150.9283123,Blacktown City Council,2155,Existing Fast Chargers,116,Sydney - Blacktown,New South Wales,ev_00175,"-33.700403,150.928312",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"15 Merriville Rd, Sydney, 2155",jolt,2,DC,25 kW,-33.70051756,150.9281081,Blacktown City Council,2155,Existing Fast Chargers,116,Sydney - Blacktown,New South Wales,ev_00176,"-33.700518,150.928108",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"15 Ridge St, Sydney, 2060",evie networks,4,DC,75 kW,-33.83274979,151.2064264,North Sydney Council,2060,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00178,"-33.832750,151.206426",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_shared_external,False,unmatched,False,unmatched,False,unmatched,False
,"151 Beauchamp Rd, Sydney, 2036",jolt,2,DC,25 kW,-33.95633138,151.2265986,Randwick City Council,2036,Existing Fast Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00182,"-33.956331,151.226599",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"153 Coreen Ave Cnr Castlereagh Rd, Penrith, NSW, 2750",ampol,2,DC,125 kW,-33.7428103,150.6929292,Penrith City Council,2750,ARENA - Driving the Nation,124,Sydney - Outer West and Blue Mountains,New South Wales,ev_00187,"-33.742810,150.692929",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,review_shared_external,False,review_shared_external,False,review_shared_external,False
,"156 Melbourne St, Mulwala, 2647",wevolt,4,DC,80 kW,-35.99499104,146.001983,Federation Council,2647,Existing Fast Chargers,109,Murray,New South Wales,ev_00191,"-35.994991,146.001983",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"16-20 Goodhope St, Sydney, 2021",chargefox,2,DC,30 kW,-33.88181186,151.2283183,Woollahra Municipal Council,2021,Existing Fast Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00205,"-33.881812,151.228318",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"169 Willoughby Rd, Sydney, 2065",bp,2,DC,75 kW,-33.8201522,151.2011902,Willoughby City Council,2065,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00211,"-33.820152,151.201190",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"17 Smith St, Sydney, 2067",chargefox,6,DC,47 kW,-33.78601306,151.1980831,Willoughby City Council,2067,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00214,"-33.786013,151.198083",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"17 Stanley St, Sydney, 2210",jolt,2,DC,25 kW,-33.96212217,151.0635736,Georges River Council,2210,Existing Fast Chargers,119,Sydney - Inner South West,New South Wales,ev_00215,"-33.962122,151.063574",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
,"17 Stewart St, Wollongong NSW 2500, Australia",nrma electric,4,DC,75 kW,-29.7756503,151.1151033,Wollongong City Council,2453,TfNSW Regional,110,New England and North West,New South Wales,ev_00216,"-29.775650,151.115103",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
,"173 The Vineyards Rd, Lake George, 2581",exploren,2,DC,60 kW,-34.99682987,149.3848398,Yass Valley Council,2581,Existing Fast Chargers,101,Capital Region,New South Wales,ev_00218,"-34.996830,149.384840",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"18 Dandaloo St, Nyngan, NSW 2825, Australia",nrma electric,4,DC,75 kW,-32.0506213,150.8667598,Bogan Shire Council,2360,TfNSW Regional,106,Hunter Valley exc Newcastle,New South Wales,ev_00225,"-32.050621,150.866760",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
,"19 Princes Hwy, Figtree NSW 2525, Australia",tesla motors,6,DC,175 kW,-34.4366153,150.8632982,Wollongong City Council,2525,Fast Charging R1,107,Illawarra,New South Wales,ev_00246,"-34.436615,150.863298",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,review_identity,False
,"1-9 Railway Parade, Kogarah NSW 2217",evie networks,4,DC,150 kW,-33.96168115,151.1325903,Georges River Council,2217,ARENA - Driving the Nation,119,Sydney - Inner South West,New South Wales,ev_00247,"-33.961681,151.132590",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_shared_external,False,unmatched,False,unmatched,False,unmatched,False
,"19 Windsor Rd, Sydney, 2155",bp,2,DC,75 kW,-33.71274679,150.9591602,The Hills Shire Council,2155,Existing Fast Chargers,115,Sydney - Baulkham Hills and Hawkesbury,New South Wales,ev_00249,"-33.712747,150.959160",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,197-215 Condamine St Balgowlah NSW 2093 Australia,tesla motors,6,DC,175 kW,-33.7930342,151.2641426,Northern Beaches Council,2093,Fast Charging R3,122,Sydney - Northern Beaches,New South Wales,ev_00254,"-33.793034,151.264143",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_identity,False
,"2 Coast Hospital Rd, Sydney, 2036",evie networks,2,DC,75 kW,-33.98102507,151.2497087,Randwick City Council,2036,Existing Fast Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00264,"-33.981025,151.249709",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_shared_external,False,unmatched,False,unmatched,False,unmatched,False
,"2 Hannabus Pl, Windsor, 2756",exploren,2,DC,60 kW,-33.62676281,150.8353483,Hawkesbury City Council,2756,Existing Fast Chargers,115,Sydney - Baulkham Hills and Hawkesbury,New South Wales,ev_00268,"-33.626763,150.835348",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"2 Premier St, Sydney, 2217",jolt,2,DC,25 kW,-33.96242247,151.1343213,Georges River Council,2217,Existing Fast Chargers,119,Sydney - Inner South West,New South Wales,ev_00279,"-33.962422,151.134321",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_identity,False,unmatched,False,unmatched,False,unmatched,False
,"2 Riddell St, Sydney, 2023",chargefox,2,DC,40 kW,-33.88578883,151.2573263,Woollahra Municipal Council,2023,Existing Fast Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00281,"-33.885789,151.257326",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"2 Sentry Dr, Sydney, 2768",chargefox,4,DC,40 kW,-33.71984389,150.918979,Blacktown City Council,2768,Existing Fast Chargers,116,Sydney - Blacktown,New South Wales,ev_00286,"-33.719844,150.918979",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"20 Owen St, Sydney, 2761",chargefox,2,DC,47 kW,-33.75074779,150.8580751,Blacktown City Council,2761,Existing Fast Chargers,116,Sydney - Blacktown,New South Wales,ev_00295,"-33.750748,150.858075",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,20-22 Camden Rd Campbelltown NSW 2560 Australia,tesla motors,12,DC,175 kW,-34.0725934,150.8078816,Campbelltown City Council,2560,Fast Charging R1,123,Sydney - Outer South West,New South Wales,ev_00306,"-34.072593,150.807882",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_identity,False,unmatched,False,review_shared_external,False,review_identity,False
,"2090 Broke Rd, Pokolbin, 2320",nrma electric,4,DC,75 kW,-32.77342947,151.2982713,Cessnock City Council,2320,Existing Fast Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00313,"-32.773429,151.298271",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"22 Cook Ln, Sydney, 2223",jolt,2,DC,25 kW,-33.9701502,151.0801331,Georges River Council,2223,Existing Fast Chargers,119,Sydney - Inner South West,New South Wales,ev_00329,"-33.970150,151.080133",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"221 Wolseley St, Jamisontown NSW 2750",evie networks,4,DC,350 kW,-33.770295,150.673823,Penrith City Council,2614,ARENA - Driving the Nation,124,Sydney - Outer West and Blue Mountains,New South Wales,ev_00332,"-33.770295,150.673823",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_identity,False,unmatched,False,review_identity,False,unmatched,False
,"22-24 Park Ave, Sydney, 2134",jolt,2,DC,25 kW,-33.87384989,151.1019449,Burwood Council,2134,Existing Fast Chargers,120,Sydney - Inner West,New South Wales,ev_00333,"-33.873850,151.101945",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"2260 Camden Valley Way, Sydney, 2170",jolt,2,DC,25 kW,-33.95800605,150.8864635,Liverpool City Council,2170,Existing Fast Chargers,127,Sydney - South West,New South Wales,ev_00339,"-33.958006,150.886463",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_shared_external,False
,"2260 Camden Valley Way, Sydney, 2170",jolt,2,DC,25 kW,-33.9581552,150.8866296,Liverpool City Council,2170,Existing Fast Chargers,127,Sydney - South West,New South Wales,ev_00340,"-33.958155,150.886630",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_shared_external,False
,"228-234 Pacific Hwy, Swansea NSW, 2281",everty,2,DC,25 kW,-33.09176581,151.6374214,Lake Macquarie City Council,2281,Existing Fast Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00342,"-33.091766,151.637421",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_identity,False,unmatched,False,unmatched,False,unmatched,False
,"230 Arden St, Sydney, 2034",jolt,2,DC,50 kW,-33.92159464,151.2565566,Randwick City Council,2034,Existing Fast Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00347,"-33.921595,151.256557",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"241 Waterworth Dr, Mount Annan NSW 2567, Australia",viva energy australia,4,DC,175 kW,-34.049425,150.7603383,Camden Council,2567,Fast Charging R2,123,Sydney - Outer South West,New South Wales,ev_00360,"-34.049425,150.760338",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_identity,False
,"25-47 Ocean St, Sydney, 2101",jolt,2,DC,25 kW,-33.71943448,151.2986617,Northern Beaches Council,2101,Existing Fast Chargers,122,Sydney - Northern Beaches,New South Wales,ev_00375,"-33.719434,151.298662",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"26 Aspect Dr, Coffs Harbour, 2450",tesla motors,4,DC,60 kW,-30.27522227,153.1319389,Coffs Harbour City Council,2450,Existing Fast Chargers,104,Coffs Harbour - Grafton,New South Wales,ev_00377,"-30.275222,153.131939",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,review_identity,False
,"26 Neilly St, Walgett, NSW 2832, Australia",nrma electric,2,DC,75 kW,-28.8659158,153.0485564,Walgett Shire Council,2337,TfNSW Regional,112,Richmond - Tweed,New South Wales,ev_00379,"-28.865916,153.048556",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"28 Auburn Street, Moree, NSW 2400, Australia",nrma electric,2,DC,50 kW,-35.3548636,145.725081,Moree Plains Shire Council,2716,TfNSW Regional,109,Murray,New South Wales,ev_00394,"-35.354864,145.725081",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,review_identity,False
,"28 Lawson St, Byron Bay, 2481",evup,2,DC,100 kW,-28.64327432,153.6158749,Byron Shire Council,2481,Existing Fast Chargers,112,Richmond - Tweed,New South Wales,ev_00396,"-28.643274,153.615875",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
,"2-8 Turramurra Ave, Sydney, 2074",evie networks,4,DC,75 kW,-33.7323514,151.1307097,Ku-ring-gai Council,2074,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00398,"-33.732351,151.130710",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_shared_external,False,unmatched,False,unmatched,False,unmatched,False
,"29 Windsor Rd, Sydney, 2155",jolt,2,DC,25 kW,-33.71252457,150.9583413,The Hills Shire Council,2155,Existing Fast Chargers,115,Sydney - Baulkham Hills and Hawkesbury,New South Wales,ev_00404,"-33.712525,150.958341",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"293 Belmore Rd, Sydney, 2210",jolt,2,DC,25 kW,-33.95077182,151.051971,Georges River Council,2210,Existing Fast Chargers,119,Sydney - Inner South West,New South Wales,ev_00407,"-33.950772,151.051971",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_identity,False,unmatched,False,unmatched,False,unmatched,False
,"29-55 Twynam St, Narrandera, 2700",nrma electric,2,DC,50 kW,-34.74651756,146.548011,Narrandera Shire Council,2700,Existing Fast Chargers,113,Riverina,New South Wales,ev_00409,"-34.746518,146.548011",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,review_identity,False
,"3 Corkhill Pl, Bega, 2550",chargefox,2,DC,42 kW,-36.6972593,149.8418629,Bega Valley Shire Council,2550,Existing Fast Chargers,101,Capital Region,New South Wales,ev_00421,"-36.697259,149.841863",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_identity,False
,"302-312 Parramatta Rd, Sydney, 2134",jolt,2,DC,25 kW,-33.86942247,151.108024,Burwood Council,2134,Existing Fast Chargers,120,Sydney - Inner West,New South Wales,ev_00434,"-33.869422,151.108024",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"303 Henry Parry Dr, Central Coast, 2250",chargefox,2,DC,60 kW,-33.40941346,151.3507447,Central Coast Council,2250,Existing Fast Chargers,102,Central Coast,New South Wales,ev_00435,"-33.409413,151.350745",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
,"30A Richland St, Sydney, 2208",exploren,2,DC,120 kW,-33.93524029,151.0986717,Canterbury Bankstown Council,2208,Existing Fast Chargers,119,Sydney - Inner South West,New South Wales,ev_00440,"-33.935240,151.098672",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"31 Treacy St, Sydney, 2220",jolt,2,DC,25 kW,-33.96786191,151.1060561,Georges River Council,2220,Existing Fast Chargers,119,Sydney - Inner South West,New South Wales,ev_00444,"-33.967862,151.106056",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"316 Victoria Rd, Sydney, 2116",exploren,2,DC,120 kW,-33.81024029,151.0342402,"Parramatta, Council of the City of",2116,Existing Fast Chargers,125,Sydney - Parramatta,New South Wales,ev_00451,"-33.810240,151.034240",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_identity,False
,"320 Princes Hwy, Bomaderry, 2541",chargefox,4,DC,47 kW,-34.84356861,150.5955365,Shoalhaven City Council,2541,Existing Fast Chargers,114,Southern Highlands and Shoalhaven,New South Wales,ev_00456,"-34.843569,150.595537",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"328 Main Rd, Newcastle, 2285",bp,4,DC,150 kW,-32.93782987,151.6567367,Lake Macquarie City Council,2285,Existing Fast Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00459,"-32.937830,151.656737",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"33 Moate St, Newcastle, 2298",chargefox,2,DC,60 kW,-32.90870375,151.7304655,Newcastle City Council,2298,Existing Fast Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00463,"-32.908704,151.730466",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,"330 Pennant Hills Rd, Pennant Hills NSW 2120",evie networks,2,DC,50 kW,-33.7366211,151.0743388,"Hornsby, The Council of the Shire of",2120,ARENA - Driving the Nation,126,Sydney - Ryde,New South Wales,ev_00466,"-33.736621,151.074339",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
,"345 Victoria Ave, Chatswood NSW 2067",engie,2,DC,150 kW,-33.7945647,151.18613,Willoughby City Council,2067,ARENA - Driving the Nation,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00479,"-33.794565,151.186130",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
,"345 Victoria Ave, Sydney, 2067",chargefox,2,DC,150 kW,-33.79304309,151.1865576,Willoughby City Council,2067,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00481,"-33.793043,151.186558",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
,"3483 Jerrys Plains Rd, Jerrys Plains, 2330",tesla motors,12,DC,130 kW,-32.44806211,150.8316627,Muswellbrook Shire Council,2330,Existing Fast Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00482,"-32.448062,150.831663",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,review_identity,False
