OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_CODE26,SA4_NAME26,STE_NAME26,source_record_id,dc_location_key,augmentation_status,match_distance_m,match_method,external_id,external_title,external_address,external_operator,external_dc_plug_types,external_usage_cost_text,external_access_type,external_bay_count,external_number_of_points,external_status,external_last_verified,external_provider,external_provider_license,external_source_url,augmented,augmentation_source,matched_sources,evie_match_status,evie_augmented,ampol_match_status,ampol_augmented,ocm_match_status,ocm_augmented,osm_match_status,osm_augmented
,,"Corner of Snowy River Avenue and Kalkite St, Jindabyne, 2627",NRMA,4,DC,50 kW,-36.415952,148.6198038,Snowy Monaro Regional Council,2627,Existing Fast Chargers,101,Capital Region,New South Wales,ev_00839,"-36.415952,148.619804",matched,6.24,nearby_identity,190861,Snowy River Ave Car Park,"3 Snowy River Ave, Jindabyne, 2627",NRMA,CCS (Type 2); CHAdeMO,$0.64/kWh,Public,,2,Operational,2026-07-15T01:28:00Z,Open Charge Map Contributors,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),https://openchargemap.org/site/poi/details/190861,True,ocm,ocm; osm,unmatched,False,unmatched,False,matched,True,matched,True
,,"Cowper Street, Warrawong, NSW 2502",EVUp,2,AC,22 kW,-34.4861592,150.8879279,Wollongong City Council,NSW 2502,Existing Destination Chargers,107,Illawarra,New South Wales,ev_00840,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Cronulla Railway Station, Tonkin Street, Cronulla, New South Wales 2230, Australia",JOLT,1,DC,25 kW,-34.05771,151.151975,Sutherland Shire Council,2230,TfNSW Commuter Car Parks,128,Sydney - Sutherland,New South Wales,ev_00841,"-34.057710,151.151975",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,,"Cypress Dr, Pokolbin, 2320",Tesla,2,AC,6 kW,-32.78510015,151.2896006,Cessnock City Council,2320,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00842,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Dalton St, Parkes, 2870",NRMA,2,DC,75 kW,-33.13720725,148.1726176,Parkes Shire Council,2870,Existing Fast Chargers,103,Central West,New South Wales,ev_00843,"-33.137207,148.172618",matched,23.08,nearby_identity,191956,NRMA Parkes,"Bogan Street, Parkes, 2870",NRMA,CCS (Type 2); CHAdeMO,FREE,Public - Membership Required,,1,Operational,2022-03-10T22:21:00Z,Open Charge Map Contributors,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),https://openchargemap.org/site/poi/details/191956,True,ocm,ocm,unmatched,False,unmatched,False,matched,True,review_identity,False
,,"Darling Cswy, Mount Victoria, 2786",Non-networked,2,AC,22 kW,-33.58671976,150.2568799,Blue Mountains City Council,2786,Existing Destination Chargers,124,Sydney - Outer West and Blue Mountains,New South Wales,ev_00844,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Darling Dr, Sydney, 2000",NRMA,20,AC,22 kW,-33.8751502,151.1995636,"Sydney, Council of the City of",2000,Existing Destination Chargers,117,Sydney - City and Inner South,New South Wales,ev_00845,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Darling Dr, Sydney, 2000",NRMA,5,AC,22 kW,-33.8767518,151.20002,"Sydney, Council of the City of",2000,Existing Destination Chargers,117,Sydney - City and Inner South,New South Wales,ev_00846,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Darwin St, Cessnock, 2325",Everty,3,AC,6 kW,-32.83657562,151.3539109,Cessnock City Council,2325,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00847,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Date St, Newcastle, 2289",Chargefox,2,AC,22 kW,-32.93447852,151.7247487,Newcastle City Council,2289,Existing Destination Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00848,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Don Kendell Dr, Forest Hill, 2651",Tesla,1,AC,22 kW,-35.15820325,147.4594585,Wagga Wagga City Council,2651,Existing Destination Chargers,113,Riverina,New South Wales,ev_00849,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Dorhauer Ln, Sydney, 2025",Evie,2,DC,75 kW,-33.88851356,151.2376316,Woollahra Municipal Council,2025,Existing Fast Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00850,"-33.888514,151.237632",matched,4.94,nearby_identity,4719,107 Queen Street Parking – Woollahra,Dorhauer Lane  Woollahra 2025,Evie Networks,CCS Type 2,0.60/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True,evie,evie; ocm,matched,True,unmatched,False,matched,True,unmatched,False
,,"Eric Felton St, Sydney, 2154",Tesla,3,AC,22 kW,-33.72919824,151.0068078,The Hills Shire Council,2154,Existing Destination Chargers,115,Sydney - Baulkham Hills and Hawkesbury,New South Wales,ev_00851,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Eskbank St, Lithgow, 2790",NRMA,4,DC,180 kW,-33.48123828,150.1588018,"Lithgow Council, City of",2790,Existing Fast Chargers,103,Central West,New South Wales,ev_00852,"-33.481238,150.158802",matched,2.93,nearby_identity,node/12661943299,Eskbank St Car Park,,NRMA,CCS Type 2; CHAdeMO,0.71c/kWh,yes,,,,,OpenStreetMap contributors,ODbL 1.0; https://www.openstreetmap.org/copyright,https://www.openstreetmap.org/node/12661943299,True,osm,osm,unmatched,False,unmatched,False,review_identity,False,matched,True
,,"f 419 Hinterland Wy, Knockrow , 2479",Tesla,12,DC,130 kW,-28.74953958,153.5347227,Ballina Shire Council,2479,Existing Fast Chargers,112,Richmond - Tweed,New South Wales,ev_00853,"-28.749540,153.534723",matched,0.09,nearby_identity,79243,Knockrow Supercharger,"419 Hinterland Way, Knockrow, 2479",Tesla (including non-tesla),CCS (Type 2),AUD 0.42/kWh;other tariffs for older cars,Public - Membership Required,,6,Operational,2023-08-30T06:20:00Z,Open Charge Map Contributors,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),https://openchargemap.org/site/poi/details/79243,True,ocm,ocm; osm,unmatched,False,unmatched,False,matched,True,matched,True
,,"Ferguson Cres, Mittagong, 2575",Porsche Smart Mobility,1,AC,11 kW,-34.44740445,150.4612402,Wingecarribee Shire Council,2575,Existing Destination Chargers,114,Southern Highlands and Shoalhaven,New South Wales,ev_00854,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"First Ave, Gundagai, 2722",Porsche Smart Mobility,2,AC,11 kW,-35.06456061,148.1075155,Cootamundra-gundagai Regional Council,2722,Existing Destination Chargers,113,Riverina,New South Wales,ev_00855,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Franklin St, Sydney, 2036",Evie,2,DC,75 kW,-33.96116721,151.2488509,Randwick City Council,2036,Existing Fast Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00856,"-33.961167,151.248851",matched,0.14,nearby_identity,5855,Pioneers Park Sportsfields – Malabar,3 Franklin St  Malabar 2036,Evie Networks,CCS Type 2,0.62/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True,evie,evie,matched,True,unmatched,False,unmatched,False,unmatched,False
,,"Gallagher St, Byron Bay, 2481",Chargefox,2,AC,22 kW,-28.63008013,153.5810821,Byron Shire Council,2481,Existing Destination Chargers,112,Richmond - Tweed,New South Wales,ev_00857,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Gardeners Rd, Sydney, 2020",JOLT,2,DC,25 kW,-33.92049354,151.1907497,"Sydney, Council of the City of",2020,Existing Fast Chargers,117,Sydney - City and Inner South,New South Wales,ev_00858,"-33.920494,151.190750",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_identity,False
,,"Gardeners Rd, Sydney, 2020",JOLT,2,DC,25 kW,-33.92059364,151.1914745,"Sydney, Council of the City of",2020,Existing Fast Chargers,117,Sydney - City and Inner South,New South Wales,ev_00859,"-33.920594,151.191474",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_identity,False
,,"Gasworks Ln, Molong, 2866",NRMA,1,AC,22 kW,-33.09089894,148.8704144,Cabonne Council,2866,Existing Destination Chargers,103,Central West,New South Wales,ev_00860,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Gipps St, Bega, 2550",NRMA,2,DC,50 kW,-36.67324729,149.843047,Bega Valley Shire Council,2550,Existing Fast Chargers,101,Capital Region,New South Wales,ev_00861,"-36.673247,149.843047",matched,15.97,nearby_identity,node/6711862737,,,NRMA,CCS Type 2; CHAdeMO,,,,,,,OpenStreetMap contributors,ODbL 1.0; https://www.openstreetmap.org/copyright,https://www.openstreetmap.org/node/6711862737,True,osm,osm,unmatched,False,unmatched,False,review_identity,False,matched,True
,,"Goobarabah Ave, Central Coast, 2263",Chargefox,2,AC,22 kW,-33.24040245,151.5038719,Central Coast Council,2263,Existing Destination Chargers,102,Central Coast,New South Wales,ev_00862,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Grandview Lane, Bowen Mountain, 2753",Porsche Destination Charging,1,AC,11 kW,-33.58239244,150.6335656,Hawkesbury City Council,2753,Existing Destination Chargers,115,Sydney - Baulkham Hills and Hawkesbury,New South Wales,ev_00863,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Grenache Way, Murrumbateman, 2582",Porsche Smart Mobility,1,AC,11 kW,-34.97787592,149.0084344,Yass Valley Council,2582,Existing Destination Chargers,101,Capital Region,New South Wales,ev_00864,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Griffith St, Tweed Heads, 2485",Chargefox,2,AC,22 kW,-28.16872577,153.5430551,Tweed Shire Council,2485,Existing Destination Chargers,112,Richmond - Tweed,New South Wales,ev_00865,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Halls Rd, Pokolbin, 2320",Porsche Smart Mobility,2,AC,11 kW,-32.77742747,151.3148879,Cessnock City Council,2320,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00866,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Harbour Boulevard, Shell Cove, 2529",Chargefox,2,DC,350 kW,-34.58859964,150.8661131,Shellharbour City Council,2529,Existing Fast Chargers,107,Illawarra,New South Wales,ev_00867,"-34.588600,150.866113",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
,,"Hassall St, Sydney, 2142",BP,4,DC,150 kW,-33.81961366,151.0213463,"Parramatta, Council of the City of",2142,Existing Fast Chargers,125,Sydney - Parramatta,New South Wales,ev_00868,"-33.819614,151.021346",matched,76.2,nearby_identity,273428,bp pulse Rosehill,"Hassall Street, Rosehill, 2142",BP Pulse (AU),CCS (Type 2),55c/kWh,Public - Membership Required,,2,Operational,2023-08-09T12:02:00Z,Open Charge Map Contributors,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),https://openchargemap.org/site/poi/details/273428,True,ocm,ocm,unmatched,False,unmatched,False,matched,True,review_shared_external,False
,,"Hassall Street & James Rouse Drive, Sydney, 2142",BP,4,DC,150 kW,-33.81968873,151.0213023,"Parramatta, Council of the City of",2142,Existing Fast Chargers,125,Sydney - Parramatta,New South Wales,ev_00869,"-33.819689,151.021302",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,review_shared_external,False
,,"Hastings St, Wauchope, 2446",NRMA,4,DC,60 kW,-31.4561542,152.7327227,Port Macquarie-Hastings Council,2446,Existing Fast Chargers,108,Mid North Coast,New South Wales,ev_00870,"-31.456154,152.732723",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,,"Havenview Rd, Central Coast, 2260",EVUp,2,AC,23 kW,-33.44133738,151.4392553,Central Coast Council,2260,Existing Destination Chargers,102,Central Coast,New South Wales,ev_00871,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Headland Ave, Austinmer, 2515",EVX,2,AC,22 kW,-34.30089594,150.9396096,Wollongong City Council,2515,Existing Destination Chargers,107,Illawarra,New South Wales,ev_00872,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Henderson Rd, Sydney, 2174",Chargefox,10,AC,6 kW,-33.9694585,150.8563874,Liverpool City Council,2174,Existing Destination Chargers,127,Sydney - South West,New South Wales,ev_00873,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Herbert St, Tooleybuc, 2736",Non-networked,8,AC,22 kW,-35.02423528,143.3367067,Murray River Council,2736,Existing Destination Chargers,109,Murray,New South Wales,ev_00874,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Hermitage Rd, Pokolbin, 2320",Tesla,2,AC,17 kW,-32.7277508,151.2606126,Singleton Council,2320,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00875,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Hermitage Road, Pokolbin, 2320",Porsche Smart Mobility,1,AC,11 kW,-32.73467072,151.2624855,Singleton Council,2320,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00876,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Holborn Ct, Sydney, 2557",Exploren,4,DC,150 kW,-34.02030235,150.7634565,Camden Council,2557,Existing Fast Chargers,127,Sydney - South West,New South Wales,ev_00877,"-34.020302,150.763456",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_identity,False
,,"Horderns Rd, Bowral, 2576",Porsche Smart Mobility,1,AC,11 kW,-34.49890695,150.4816156,Wingecarribee Shire Council,2576,Existing Destination Chargers,114,Southern Highlands and Shoalhaven,New South Wales,ev_00878,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Innovation Way, Wollongong, 2500",Chargefox,3,DC,180 kW,-34.40008513,150.8996306,Wollongong City Council,2500,Existing Fast Chargers,107,Illawarra,New South Wales,ev_00879,"-34.400085,150.899631",matched,5.91,nearby_identity,131610,Innovation Campus - University of Wollongong,"Off Innovation Way, North Wollongong, 2500",Chargefox,CCS (Type 2),Free,Public,,2,Operational,2024-07-30T05:30:00Z,Open Charge Map Contributors,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),https://openchargemap.org/site/poi/details/131610,True,ocm,ocm,unmatched,False,unmatched,False,matched,True,unmatched,False
,,"Jean Wailes Ave, Sydney, 2138",Chargefox,3,AC,22 kW,-33.83529434,151.0844314,"Canada Bay Council, City of",2138,Existing Destination Chargers,120,Sydney - Inner West,New South Wales,ev_00880,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Jersey St, Sydney, 2077",BP,2,DC,75 kW,-33.68997402,151.1061692,"Hornsby, The Council of the Shire of",2077,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00881,"-33.689974,151.106169",matched,3.83,nearby_identity,node/10687053371,,,bp pulse,CCS Type 2,,,,,,,OpenStreetMap contributors,ODbL 1.0; https://www.openstreetmap.org/copyright,https://www.openstreetmap.org/node/10687053371,True,osm,osm,unmatched,False,unmatched,False,unmatched,False,matched,True
,,"Joadja Rd, Sydney, 2170",NRMA,6,AC,22 kW,-33.9302513,150.8756286,Liverpool City Council,2170,Existing Destination Chargers,127,Sydney - South West,New South Wales,ev_00882,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"John Renshaw Dr, Beresfield, 2322",BP,2,DC,75 kW,-32.81193998,151.6394685,Newcastle City Council,2322,Existing Fast Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00883,"-32.811940,151.639468",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,,"Kable Ave, Tamworth, 2340",NRMA,2,DC,50 kW,-31.0903554,150.9274134,Tamworth Regional Council,2340,Existing Fast Chargers,110,New England and North West,New South Wales,ev_00884,"-31.090355,150.927413",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_identity,False,unmatched,False,review_identity,False,unmatched,False
,,"Kiewa St, Albury, 2640",NRMA,2,DC,50 kW,-36.08379184,146.9148338,Albury City Council,2640,Existing Fast Chargers,109,Murray,New South Wales,ev_00885,"-36.083792,146.914834",matched,2.95,nearby_identity,node/7244697466,,,NRMA,CCS Type 2; CHAdeMO,,,,,,,OpenStreetMap contributors,ODbL 1.0; https://www.openstreetmap.org/copyright,https://www.openstreetmap.org/node/7244697466,True,osm,osm,unmatched,False,unmatched,False,unmatched,False,matched,True
,,"King St, Newcastle, 2300",Porsche Smart Mobility,2,AC,11 kW,-32.92746051,151.7790551,Newcastle City Council,2300,Existing Destination Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00886,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Kintore Headframe Car Park, 51 Bromide St, Broken Hill, NSW 2880, Australia",NRMA,2,DC,50 kW,-31.557857,143.3855021,Broken Hill City Council,2836,TfNSW Regional,105,Far West and Orana,New South Wales,ev_00887,"-31.557857,143.385502",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,review_identity,False,unmatched,False
,,"Kokera St, Newcastle, 2287",Tesla,2,AC,22 kW,-32.90262967,151.6676206,Newcastle City Council,2287,Existing Destination Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00888,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Koonya Cct, Sydney, 2229",Exploren,2,DC,50 kW,-34.0278569,151.1217848,Sutherland Shire Council,2229,Existing Fast Chargers,128,Sydney - Sutherland,New South Wales,ev_00889,"-34.027857,151.121785",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_identity,False,unmatched,False,unmatched,False,unmatched,False
,,"Kowara Cres, Merimbula, 2548",EVUp,2,AC,22 kW,-36.88414419,149.9032943,Bega Valley Shire Council,2548,Existing Destination Chargers,101,Capital Region,New South Wales,ev_00890,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Lake Haven Dr, Lake Haven NSW 2263",Engie,2,DC,150 kW,-33.2445959,151.498974,Camden Council,2263,ARENA - Driving the Nation,102,Central Coast,New South Wales,ev_00891,"-33.244596,151.498974",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,,"Lampe St, Talbingo, 2720",Chargefox,4,AC,22 kW,-35.58062367,148.3003804,Snowy Valleys Council,2720,Existing Destination Chargers,113,Riverina,New South Wales,ev_00892,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Larkin Ln, Lismore, 2480",Everty,3,AC,11 kW,-28.80843648,153.2793393,Lismore City Council,2480,Existing Destination Chargers,112,Richmond - Tweed,New South Wales,ev_00893,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Lauder St, Tumbarumba, 2653",Chargefox,2,DC,100 kW,-35.7735596,148.0094114,Snowy Valleys Council,2653,Existing Fast Chargers,113,Riverina,New South Wales,ev_00894,"-35.773560,148.009411",matched,4.57,nearby_identity,node/12885318910,,,Chargefox,CCS Type 2,,,,,,,OpenStreetMap contributors,ODbL 1.0; https://www.openstreetmap.org/copyright,https://www.openstreetmap.org/node/12885318910,True,osm,osm,unmatched,False,unmatched,False,unmatched,False,matched,True
,,"Leisure Haven Caravan Pk, Woollamia, 2540",Exploren,2,AC,22 kW,-35.02311116,150.6615756,Shoalhaven City Council,2540,Existing Destination Chargers,114,Southern Highlands and Shoalhaven,New South Wales,ev_00895,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Library Walk, Sydney, 2033",Chargefox,12,AC,6 kW,-33.91844849,151.2345085,Randwick City Council,2033,Existing Destination Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00896,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Link Road, Sydney, 2113",Chargefox,6,AC,22 kW,-33.77552657,151.1094585,"Ryde, Council of the City of",2113,Existing Destination Chargers,126,Sydney - Ryde,New South Wales,ev_00897,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Lovedale Rd, Lovedale, 2325",Porsche Smart Mobility,2,AC,11 kW,-32.75337542,151.3714925,Cessnock City Council,2325,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00898,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"M4 Motorway Westbound, Sydney, 2766",Ampol,10,DC,400 kW,-33.80214519,150.8802132,Blacktown City Council,2766,Existing Fast Chargers,116,Sydney - Blacktown,New South Wales,ev_00899,"-33.802145,150.880213",matched,0.03,nearby_identity,0000028577,Ampol Foodary Eastern Creek Westbound,M4 Motorway Westbound Eastern Creek 2766,Ampol,CCS 2,,,10,,,,Ampol official station locator,Official website; no open-data licence asserted,https://ampcharge.ampol.com.au/find-a-charging-station,True,ampol,ampol,unmatched,False,matched,True,unmatched,False,review_identity,False
,,"Market St, Merimbula, 2548",Tesla,2,AC,6 kW,-36.89278383,149.9090891,Bega Valley Shire Council,2548,Existing Destination Chargers,101,Capital Region,New South Wales,ev_00900,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"McFarlane St, Sydney, 2160",Tesla,2,AC,22 kW,-33.83346051,150.9873373,Cumberland Council,2160,Existing Destination Chargers,125,Sydney - Parramatta,New South Wales,ev_00901,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Megalong Rd, Megalong Valley, 2785",Chargefox,2,AC,22 kW,-33.69583588,150.2530601,Blue Mountains City Council,2785,Existing Destination Chargers,124,Sydney - Outer West and Blue Mountains,New South Wales,ev_00902,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Melyra Street, Grenfell, 2810",Exploren,2,AC,22 kW,-33.89200405,148.1607778,Weddin Shire Council,2810,Existing Destination Chargers,103,Central West,New South Wales,ev_00903,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Merewether St & Wharf Rd, Newcastle , 2300",Tesla,1,AC,6 kW,-32.92522927,151.7732092,Newcastle City Council,2300,Existing Destination Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00904,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Merry Beach Rd, Kioloa, 2539",Exploren,4,AC,6 kW,-35.56540945,150.371977,Shoalhaven City Council,2539,Existing Destination Chargers,114,Southern Highlands and Shoalhaven,New South Wales,ev_00905,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Methul St N, Coolamon, 2701",Exploren,2,AC,22 kW,-34.81361066,147.2015485,Coolamon Shire Council,2701,Existing Destination Chargers,113,Riverina,New South Wales,ev_00906,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Milbrodale Road 1100, Broke, 2330",ChargeHub,4,AC,22 kW,-32.75094099,151.0803403,Singleton Council,2330,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00907,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Mitchell Pde, Mollymook Beach, 2539",Porsche Smart Mobility,3,AC,11 kW,-35.32252857,150.485036,Shoalhaven City Council,2539,Existing Destination Chargers,114,Southern Highlands and Shoalhaven,New South Wales,ev_00908,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Moore St, Banksmeadow , 2019",EVUp,1,AC,22 kW,-33.9452573,151.2222232,Bayside Council,2019,Existing Destination Chargers,117,Sydney - City and Inner South,New South Wales,ev_00909,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Mortimer St, Mudgee, 2850",NRMA,2,DC,50 kW,-32.59368073,149.5862633,Mid-Western Regional Council,2850,Existing Fast Chargers,103,Central West,New South Wales,ev_00910,"-32.593681,149.586263",matched,7.47,nearby_identity,191957,NRMA Mudgee,"Perry Street, Mudgee, 2850",NRMA,CCS (Type 2); CHAdeMO,60c / 54c for NRMA Members,Public,,1,Operational,2024-06-14T12:05:00Z,Open Charge Map Contributors,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),https://openchargemap.org/site/poi/details/191957,True,ocm,ocm,unmatched,False,unmatched,False,matched,True,review_identity,False
,,"Mount View Rd, Mount View, 2325",Tesla,1,AC,6 kW,-32.83438043,151.2962412,Cessnock City Council,2325,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00911,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Mowamba Pl, Thredbo, 2625",Tesla,1,AC,22 kW,-36.50483088,148.3046977,Snowy Monaro Regional Council,2625,Existing Destination Chargers,101,Capital Region,New South Wales,ev_00912,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Muir St, Medowie, 2318",Chargefox,2,AC,6 kW,-32.73893898,151.8673493,Port Stephens Council,2318,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00913,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"Mulgoa Rd & Wolseley St, Sydney, 2750",Tesla,2,AC,22 kW,-33.76959064,150.6717908,Penrith City Council,2750,Existing Destination Chargers,124,Sydney - Outer West and Blue Mountains,New South Wales,ev_00914,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
