OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_CODE26,SA4_NAME26,STE_NAME26,source_record_id,dc_location_key,augmentation_status,match_distance_m,match_method,external_id,external_title,external_address,external_operator,external_dc_plug_types,external_usage_cost_text,external_access_type,external_bay_count,external_number_of_points,external_status,external_last_verified,external_provider,external_provider_license,external_source_url,augmented,augmentation_source,matched_sources,evie_match_status,evie_augmented,ampol_match_status,ampol_augmented,ocm_match_status,ocm_augmented,osm_match_status,osm_augmented
,,"1 Frederick St, Sydney, 2064",Evie,6,DC,150 kW,-33.81707912,151.1889369,Willoughby City Council,2064,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00017,"-33.817079,151.188937",matched,0.1,nearby_identity,7285,Home HQ – Artarmon,1 Frederick St  Artarmon 2064,Evie Networks,CCS Type 2,0.71/kWh + 0.04/kWh (11:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True,evie,evie,matched,True,unmatched,False,review_identity,False,unmatched,False
,,"1 Friday Dr, Thredbo, 2625",Exploren,10,AC,22 kW,-36.50129634,148.3103774,Snowy Monaro Regional Council,2625,Existing Destination Chargers,101,Capital Region,New South Wales,ev_00018,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Golf Club Rd, Deniliquin, 2710",Chargefox,4,AC,22 kW,-35.53652657,144.9742282,Edward River Council,2710,Existing Destination Chargers,109,Murray,New South Wales,ev_00019,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Greenbridge Dr, Wilton, 2571",Chargefox,2,DC,160 kW,-34.22847652,150.6841562,Wollondilly Shire Council,2571,Existing Fast Chargers,123,Sydney - Outer South West,New South Wales,ev_00020,"-34.228477,150.684156",matched,2.93,nearby_identity,node/12624993541,,,Chargefox,CCS Type 2,,,,,,,OpenStreetMap contributors,ODbL 1.0; https://www.openstreetmap.org/copyright,https://www.openstreetmap.org/node/12624993541,True,osm,osm,unmatched,False,unmatched,False,unmatched,False,matched,True
,,"1 Hargreaves St, Wollongong, 2526",Exploren,4,AC,22 kW,-34.45151356,150.8428559,Wollongong City Council,2526,Existing Destination Chargers,107,Illawarra,New South Wales,ev_00021,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Hay St, Port Macquarie, 2444",Tesla,4,AC,22 kW,-31.42837342,152.9087618,Port Macquarie-Hastings Council,2444,Existing Destination Chargers,108,Mid North Coast,New South Wales,ev_00022,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Hollinsworth Rd, Sydney, 2765",Chargefox,4,AC,22 kW,-33.71981686,150.8425556,Blacktown City Council,2765,Existing Destination Chargers,116,Sydney - Blacktown,New South Wales,ev_00023,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Ingham Dr, Casula NSW 2170",Evie,4,DC,50 kW,-33.948829,150.90027,Liverpool City Council,2170,ARENA - Driving the Nation,127,Sydney - South West,New South Wales,ev_00024,"-33.948829,150.900270",matched,0.03,nearby_identity,4859,Casula Mall,1 Ingham Dr  Casula 2170,Evie Networks,CCS Type 2; CHAdeMO,0.62/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True,evie,evie; ocm; osm,matched,True,unmatched,False,matched,True,matched,True
,,"1 Jondaryan Ave, Griffith, 2680",Tesla,2,AC,22 kW,-34.2891582,146.0511201,Griffith City Council,2680,Existing Destination Chargers,113,Riverina,New South Wales,ev_00025,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Kiaora Ln, Sydney, 2028",Chargefox,2,AC,22 kW,-33.87823128,151.2448659,Woollahra Municipal Council,2028,Existing Destination Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00026,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Laman St, Newcastle, 2300",Chargefox,2,AC,22 kW,-32.92913118,151.772021,Newcastle City Council,2300,Existing Destination Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00027,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Little Walker St, Casino, NSW 2470, Australia",NRMA,4,DC,50 kW,-35.442745,149.7913305,Richmond Valley Council,2622,TfNSW Regional,101,Capital Region,New South Wales,ev_00028,"-35.442745,149.791330",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,review_identity,False
,,"1 Littlebourne St, Bathurst, 2795",Exploren,2,AC,22 kW,-33.41997202,149.6143994,Bathurst Regional Council,2795,Existing Destination Chargers,103,Central West,New South Wales,ev_00029,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Magenta Dr, Central Coast, 2261",Tesla,1,AC,6 kW,-33.31093998,151.5228138,Central Coast Council,2261,Existing Destination Chargers,102,Central Coast,New South Wales,ev_00030,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Martin Pl, Sydney, 2000",Everty,3,AC,22 kW,-33.86784589,151.2077858,"Sydney, Council of the City of",2000,Existing Destination Chargers,117,Sydney - City and Inner South,New South Wales,ev_00031,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Matong St, Dareton, 2717",Chargestar,1,AC,22 kW,-34.09419724,142.0396877,Wentworth Shire Council,2717,Existing Destination Chargers,109,Murray,New South Wales,ev_00032,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Molly Morgan Dr, Maitland, 2323",Chargefox,2,AC,6 kW,-32.76249354,151.5895816,Maitland City Council,2323,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00033,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Molly Morgan Dr, Maitland, 2323",Tesla,2,AC,22 kW,-32.76258363,151.5903554,Maitland City Council,2323,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00034,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Pambula Beach Rd, Pambula Beach, 2549",Tesla,1,AC,22 kW,-36.94024329,149.9072653,Bega Valley Shire Council,2549,Existing Destination Chargers,101,Capital Region,New South Wales,ev_00035,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Park St, Sydney, 2103",JOLT,2,DC,25 kW,-33.67613618,151.3039429,Northern Beaches Council,2103,Existing Fast Chargers,122,Sydney - Northern Beaches,New South Wales,ev_00036,"-33.676136,151.303943",matched,5.72,nearby_identity,192929,Mona Vale library carpark [JOLT],"1 Park St, Mona Vale, 2103",Jolt,CCS (Type 2); CHAdeMO,"First 7kWh free, then $0.46 per kWh thereafter. $5/hr idle time",Public - Membership Required,,1,Operational,2023-02-11T08:43:00Z,Open Charge Map Contributors,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),https://openchargemap.org/site/poi/details/192929,True,ocm,ocm; osm,unmatched,False,unmatched,False,matched,True,matched,True
,,"1 Perry St, Batemans Bay, 2536",Evie,4,DC,75 kW,-35.70737242,150.1761672,Eurobodalla Shire Council,2536,Existing Fast Chargers,101,Capital Region,New South Wales,ev_00037,"-35.707372,150.176167",matched,33.1,nearby_identity,6798,Batemans Bay Village Centre,1 Perry Street  Batemans Bay 2536,Evie Networks,CCS Type 2,0.74/kWh,,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True,evie,evie,matched,True,unmatched,False,review_identity,False,review_identity,False
,,"1 Plunkett St, Sydney, 2065",Exploren,2,DC,50 kW,-33.8215586,151.1964124,Willoughby City Council,2065,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00038,"-33.821559,151.196412",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_identity,False,unmatched,False,review_identity,False,review_identity,False
